material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Recycled PET,7,17,5,70,4.5,1.14
Kraft Paper,6,10,7,93,3.44,0.44
Bagasse Fiber,7,19,6,80,4.64,0.76
Honeycomb Paperboard,6,14,8,72,3.04,0.61
Bamboo Fiber Packaging,6,14,7,84,4.36,1.12
Bamboo Fiber Packaging,8,3,7,80,2.67,0.48
Kraft Paper,6,6,7,60,4.32,0.73
Bagasse Fiber,7,10,9,64,3.37,0.73
Seaweed Packaging,8,3,9,81,2.32,1.11
Recycled Cardboard,8,17,6,66,2.82,0.57
Seaweed Packaging,6,3,7,72,3.21,0.92
Cornstarch Packaging,9,13,9,82,4.25,0.51
Paper Foam,9,4,9,80,2.22,1.16
Biodegradable Plastic,8,3,9,65,3.98,0.87
Bamboo Fiber Packaging,6,14,6,79,4.15,0.9
Mycelium Packaging,9,18,6,71,3.96,0.75
Bagasse Fiber,6,12,7,99,4.28,0.67
Seaweed Packaging,6,17,8,68,2.53,0.57
Biodegradable Plastic,8,19,7,87,3.76,0.88
Cornstarch Packaging,8,12,9,70,4.82,1.16
Recycled Paper Wrap,5,5,9,91,3.83,0.69
Corrugated Board,9,18,5,70,3.83,1.11
Paper Foam,9,8,7,83,4.21,0.52
Cornstarch Packaging,9,5,9,74,3,1.15
Cornstarch Packaging,7,11,9,94,4.1,0.68
Seaweed Packaging,6,13,8,76,4.75,0.7
Recycled Cardboard,8,15,5,84,2.03,0.77
Kraft Paper,9,6,7,94,4.61,0.97
Bamboo Fiber Packaging,5,10,6,78,2.66,0.98
Corrugated Board,9,15,7,90,3.37,0.78
Paper Foam,6,12,7,76,4.56,0.82
Recycled Paper Wrap,6,4,8,82,4.47,0.42
Recycled Paper Wrap,8,10,7,60,4.68,0.64
Molded Pulp,7,8,8,69,4.82,0.68
Cornstarch Packaging,8,18,8,67,3.34,0.85
Bagasse Fiber,9,19,9,85,3.97,0.85
Recycled Cardboard,5,8,6,93,3.17,0.97
Corrugated Board,8,15,8,78,3.05,0.97
Seaweed Packaging,7,16,5,73,3.29,0.59
Recycled Paper Wrap,8,12,5,67,4.23,1.02
Paper Foam,6,13,6,60,3.5,0.42
Molded Pulp,9,15,8,84,4.44,0.97
Mycelium Packaging,9,14,6,83,4.24,0.48
Bamboo Fiber Packaging,9,11,9,79,2.06,0.98
Paper Foam,9,6,5,89,3.89,0.82
Recycled Cardboard,9,9,7,64,3.31,0.75
Bagasse Fiber,9,4,5,62,3.37,0.95
Molded Pulp,5,9,8,91,4.46,0.43
Mycelium Packaging,7,11,6,76,3.64,0.58
Molded Pulp,9,7,5,64,4.66,0.89
Kraft Paper,7,17,7,70,4.14,1.08
Corrugated Board,9,6,7,97,3.66,0.7
Molded Pulp,8,9,6,63,4.26,0.61
PLA Bioplastic,9,10,6,98,2.12,0.81
Kraft Paper,6,19,5,78,2.08,0.9
Kraft Paper,5,15,8,98,2.25,0.74
Recycled Cardboard,8,13,9,82,3.31,1.1
PLA Bioplastic,8,3,7,76,2.71,0.82
Biodegradable Plastic,6,4,6,72,4.95,0.43
Paper Foam,9,19,9,86,3.63,0.58
Bamboo Fiber Packaging,5,7,9,60,3.99,0.76
Bagasse Fiber,8,8,9,61,2.84,0.96
Honeycomb Paperboard,5,9,8,77,2.97,0.58
Paper Foam,8,17,6,95,3.01,1.18
Molded Pulp,9,18,7,92,4.1,0.65
Bagasse Fiber,8,15,6,95,3.42,0.83
Recycled Paper Wrap,8,7,5,61,3.55,0.42
Biodegradable Plastic,7,5,7,63,3.78,1.11
Recycled Paper Wrap,9,5,6,75,4.31,1.03
PLA Bioplastic,6,16,7,63,2.27,0.56
Recycled PET,6,18,5,68,4.33,1.15
Recycled Paper Wrap,9,19,7,80,3.69,0.65
Seaweed Packaging,6,6,9,82,4.01,0.95
Corrugated Board,9,15,8,61,2.98,1.06
Paper Foam,6,10,5,62,3.23,0.99
Honeycomb Paperboard,7,7,7,82,2.69,1.13
Seaweed Packaging,6,4,5,85,4.94,1.09
Recycled PET,8,17,9,66,3.49,1.2
Recycled Cardboard,9,4,8,95,4.99,0.55
Honeycomb Paperboard,5,13,5,92,3.47,0.64
Recycled Paper Wrap,5,15,9,95,2.66,0.91
Molded Pulp,9,12,9,63,3.52,0.99
Mycelium Packaging,7,5,9,82,2.12,0.83
Biodegradable Plastic,6,7,7,84,4.71,0.46
Bamboo Fiber Packaging,7,5,6,85,4.46,1.07
Cornstarch Packaging,5,8,5,87,4.18,1.17
Honeycomb Paperboard,9,15,6,87,3.83,0.72
Bamboo Fiber Packaging,9,12,9,80,3.74,0.58
Bamboo Fiber Packaging,7,10,6,69,4.99,0.42
Recycled Paper Wrap,7,5,9,86,2.83,0.59
Biodegradable Plastic,6,19,9,74,4.34,0.96
Bagasse Fiber,8,10,8,76,3.74,1.13
Paper Foam,8,12,8,98,4.93,0.47
Bamboo Fiber Packaging,6,4,6,94,4.48,0.84
Kraft Paper,8,14,5,64,5,0.96
Recycled PET,5,8,6,75,3.76,0.62
Corrugated Board,8,4,5,82,2.61,0.86
Biodegradable Plastic,6,5,6,98,3.51,0.97
Molded Pulp,8,19,7,68,4.13,1.07
PLA Bioplastic,9,9,7,92,4.32,0.76
Molded Pulp,7,7,5,94,2,1
Biodegradable Plastic,5,3,8,99,3.52,0.64
Molded Pulp,9,10,5,83,2.71,0.57
Bamboo Fiber Packaging,9,14,6,83,4.62,0.55
Paper Foam,6,16,9,83,2.46,0.69
Molded Pulp,7,18,7,78,4,0.43
Honeycomb Paperboard,7,12,9,98,2.8,0.63
Kraft Paper,5,17,7,84,3.07,0.92
Molded Pulp,6,17,6,90,4.82,0.92
Kraft Paper,5,12,7,97,2.72,0.46
Mycelium Packaging,8,9,5,84,2.29,0.63
Recycled Paper Wrap,9,5,9,86,2.21,0.86
Recycled Cardboard,5,4,9,91,3.51,0.65
Paper Foam,9,8,6,70,3.93,0.73
Recycled PET,6,11,9,64,2.98,0.97
Bamboo Fiber Packaging,8,12,6,92,4.07,0.41
Recycled Cardboard,6,6,8,78,2.18,0.62
Bamboo Fiber Packaging,8,5,5,75,4.57,0.51
Recycled Paper Wrap,8,11,7,94,4.45,0.5
Bamboo Fiber Packaging,9,19,7,70,4.96,1.17
Mycelium Packaging,6,16,7,70,4.81,0.7
Paper Foam,6,12,8,69,3.07,0.82
Biodegradable Plastic,5,15,5,93,3.2,0.99
Biodegradable Plastic,6,14,9,64,4.24,0.44
Kraft Paper,5,3,9,82,2.4,0.59
Recycled Paper Wrap,7,8,5,84,2.94,1.07
Kraft Paper,7,15,5,88,2.36,1.09
Mycelium Packaging,7,15,7,99,3.36,0.7
Corrugated Board,6,6,9,72,3.66,0.7
Molded Pulp,6,4,5,91,2.63,1.01
Cornstarch Packaging,5,17,9,93,2.08,0.64
Corrugated Board,8,14,5,71,4.16,0.49
Molded Pulp,5,9,6,83,2.06,0.61
Paper Foam,7,15,7,99,4.92,0.71
Kraft Paper,5,19,5,80,2.66,0.44
Recycled PET,8,6,8,88,3.99,0.78
Paper Foam,6,16,5,82,3.3,0.99
Mycelium Packaging,5,15,6,92,2.18,0.81
Seaweed Packaging,7,5,8,67,3.42,0.46
Seaweed Packaging,7,16,8,72,3.55,0.75
Seaweed Packaging,6,17,5,64,4.56,0.97
Mycelium Packaging,5,5,6,69,4.2,0.45
Recycled PET,8,3,8,73,2.24,0.45
Bamboo Fiber Packaging,6,19,7,83,2.63,0.7
Paper Foam,5,5,7,70,2.94,0.56
Molded Pulp,9,16,9,62,2.35,1.15
Mycelium Packaging,7,5,9,88,3.37,0.87
Seaweed Packaging,8,15,6,89,4.95,0.63
Recycled PET,8,17,8,96,3.54,0.96
Recycled Paper Wrap,8,16,7,66,4.23,0.7
Mycelium Packaging,7,5,7,76,4.05,0.51
PLA Bioplastic,5,10,6,79,4.55,0.59
Bamboo Fiber Packaging,6,6,8,70,2.65,0.91
Molded Pulp,5,6,6,84,4.26,0.44
Seaweed Packaging,6,13,5,83,4.64,0.62
Bagasse Fiber,8,3,7,61,2.51,0.57
Biodegradable Plastic,5,10,6,86,3.04,0.56
Recycled PET,8,17,6,78,4.91,0.95
Biodegradable Plastic,9,3,5,88,4.34,1.06
Corrugated Board,8,9,9,96,2.85,0.97
Biodegradable Plastic,8,13,7,70,3.69,0.92
Molded Pulp,6,16,6,78,3.21,1.13
Honeycomb Paperboard,9,18,7,87,3.47,0.45
Kraft Paper,8,16,9,98,3.07,0.53
Molded Pulp,8,14,6,80,2.84,0.73
Bamboo Fiber Packaging,9,19,5,85,4.02,0.7
PLA Bioplastic,9,16,7,81,4.34,0.73
Molded Pulp,5,12,5,65,4.62,0.57
Mycelium Packaging,6,16,9,70,2.47,0.52
Recycled PET,9,11,9,73,4.47,0.81
Cornstarch Packaging,9,19,7,95,2.76,1.14
Recycled PET,7,8,9,99,3.28,0.71
Kraft Paper,9,10,8,61,4.7,0.43
Bagasse Fiber,6,15,7,79,3.36,0.96
Biodegradable Plastic,8,7,8,81,2.59,0.63
Kraft Paper,8,8,9,98,2.48,0.6
Biodegradable Plastic,8,6,7,63,3.42,0.66
Corrugated Board,8,9,8,88,4.29,0.98
Kraft Paper,7,6,9,83,4.99,1.06
Seaweed Packaging,9,13,6,60,4.36,0.87
Bamboo Fiber Packaging,8,14,6,83,4.63,0.66
Bamboo Fiber Packaging,5,16,5,89,4.24,0.65
Biodegradable Plastic,8,15,6,71,4.69,0.5
Bagasse Fiber,9,12,8,78,2.23,1.15
Seaweed Packaging,8,18,6,96,4.79,0.91
Recycled Cardboard,7,7,7,99,3.19,0.42
Paper Foam,6,10,7,63,4.76,0.93
Paper Foam,6,16,7,74,2.23,0.76
Bagasse Fiber,9,7,6,79,4.15,1.18
Cornstarch Packaging,6,10,6,79,4.21,1.06
Recycled Cardboard,6,8,5,80,4.99,0.54
Corrugated Board,5,18,9,69,4.31,0.98
Bagasse Fiber,9,6,5,89,3.15,0.79
Seaweed Packaging,9,14,8,83,3.67,0.55
Paper Foam,6,13,7,99,3.1,0.96
Mycelium Packaging,6,5,6,99,2.59,0.84
Paper Foam,6,14,9,97,2.75,0.42
Paper Foam,7,7,9,62,2.67,0.92
Seaweed Packaging,8,8,6,88,3.65,0.91
Recycled Paper Wrap,7,18,5,67,4.72,0.52
Bagasse Fiber,9,13,9,88,4.74,0.68
Molded Pulp,5,7,5,69,2.16,0.87
Recycled PET,8,11,6,64,2.24,0.51
Corrugated Board,5,5,5,70,2.74,1.08
Paper Foam,9,10,7,63,2.77,0.42
Recycled PET,9,8,6,94,2.28,0.48
Bamboo Fiber Packaging,5,6,6,99,3.17,0.49
Mycelium Packaging,5,14,9,71,3.76,0.82
Biodegradable Plastic,5,14,9,80,3.73,0.9
Bagasse Fiber,9,18,9,75,3.63,0.72
PLA Bioplastic,6,12,7,73,3.02,0.63
Seaweed Packaging,5,16,7,80,4.12,1.05
Recycled Paper Wrap,8,15,8,86,4.48,0.45
Bamboo Fiber Packaging,9,11,6,95,3.04,0.62
Bagasse Fiber,7,9,9,60,2.26,0.43
Corrugated Board,7,14,6,60,2.89,0.41
Mycelium Packaging,8,7,5,81,2.41,0.68
Recycled Paper Wrap,6,6,7,74,3.4,0.56
Corrugated Board,5,4,8,79,2.47,0.61
Bamboo Fiber Packaging,9,5,5,62,3.39,1.06
Bagasse Fiber,5,14,6,73,2.66,0.53
Molded Pulp,9,5,7,68,4.22,1.02
Bamboo Fiber Packaging,7,6,9,78,2.08,0.94
PLA Bioplastic,5,8,5,99,3.66,0.66
Corrugated Board,8,14,7,93,2.51,0.84
Recycled Paper Wrap,6,12,6,63,2,0.76
Recycled Paper Wrap,8,3,6,92,4.61,0.5
Recycled PET,6,19,5,96,4.01,1.13
Corrugated Board,5,18,5,61,2.3,0.86
Honeycomb Paperboard,5,11,5,86,3.99,1.1
Bagasse Fiber,6,11,8,76,3.83,1.06
Honeycomb Paperboard,7,11,9,90,3.42,0.46
Cornstarch Packaging,9,14,7,65,3.26,0.57
Bagasse Fiber,8,11,6,90,4.66,0.52
Corrugated Board,8,17,6,62,2.74,1.06
Recycled Cardboard,8,4,9,99,3.19,1.09
Mycelium Packaging,5,13,5,62,2.99,0.82
Corrugated Board,8,13,5,92,4.31,0.48
Honeycomb Paperboard,9,10,6,72,4.75,0.51
Molded Pulp,9,8,9,80,4.55,1.05
Mycelium Packaging,6,9,6,96,4.39,1.14
Corrugated Board,5,5,5,75,4.96,0.56
Corrugated Board,9,10,7,80,4.09,0.41
Molded Pulp,7,19,5,72,4.25,0.66
Corrugated Board,5,13,7,63,4.95,0.42
Mycelium Packaging,5,4,8,90,2.02,1.06
Paper Foam,9,9,9,68,3.9,0.79
Recycled Cardboard,7,10,8,92,4.22,0.91
Biodegradable Plastic,6,16,5,96,4.75,0.73
Recycled Cardboard,9,9,9,96,4.65,0.68
Seaweed Packaging,7,6,5,83,4.53,0.58
PLA Bioplastic,5,19,9,84,4.84,1.02
Recycled PET,7,7,9,88,3.61,0.96
Corrugated Board,5,14,5,99,2.02,0.69
Paper Foam,9,11,5,95,2.03,0.66
Bagasse Fiber,9,15,9,74,3.63,0.4
Corrugated Board,8,11,9,77,3.31,0.45
Honeycomb Paperboard,8,6,5,79,3.35,0.9
Bamboo Fiber Packaging,8,10,5,64,3.2,0.81
Paper Foam,9,3,6,77,4.75,0.75
Molded Pulp,6,19,6,99,3.08,1.06
Paper Foam,9,11,6,60,4.57,0.8
Seaweed Packaging,7,15,8,78,4.71,0.71
Molded Pulp,9,4,9,82,3.5,0.53
Cornstarch Packaging,9,15,7,85,3.34,1.06
Biodegradable Plastic,5,11,8,88,4.28,0.86
Kraft Paper,5,8,9,93,4.12,0.47
Mycelium Packaging,5,3,7,78,2.99,0.92
Paper Foam,9,7,6,77,2.31,0.74
Mycelium Packaging,6,5,7,61,2.79,1.05
Recycled Paper Wrap,7,6,5,86,2.39,1.14
Honeycomb Paperboard,7,3,5,65,2.88,0.88
Corrugated Board,6,16,9,98,2.79,0.99
Honeycomb Paperboard,6,11,8,65,3.91,0.45
Mycelium Packaging,7,6,6,65,4.86,0.85
Recycled Cardboard,8,16,9,90,4.06,1
Kraft Paper,5,6,6,99,4.78,0.8
Recycled Cardboard,5,12,5,89,4.35,0.87
Cornstarch Packaging,7,5,8,80,4.18,1.12
Kraft Paper,6,9,8,77,3.24,0.56
Kraft Paper,8,12,5,82,2.97,0.48
Recycled Cardboard,7,15,7,97,4.54,0.95
Molded Pulp,5,6,8,82,4.72,1.06
Seaweed Packaging,9,13,7,87,3.36,1.08
Mycelium Packaging,6,6,6,95,2.03,0.91
Recycled Cardboard,9,16,8,84,4.38,1.07
Honeycomb Paperboard,7,10,5,66,2.86,0.96
Molded Pulp,5,12,7,77,2.03,0.47
Honeycomb Paperboard,8,7,6,79,4.41,1.01
Seaweed Packaging,9,9,6,64,3.55,0.54
Cornstarch Packaging,8,14,8,77,4.06,0.59
Corrugated Board,5,5,8,99,4.74,0.72
Seaweed Packaging,9,6,9,92,3.62,0.65
PLA Bioplastic,8,12,9,74,3.51,0.66
Bagasse Fiber,8,6,8,94,2.87,0.54
Molded Pulp,9,17,9,60,2.92,0.64
Cornstarch Packaging,5,12,5,80,4.39,0.42
PLA Bioplastic,8,18,5,67,3.35,0.78
Recycled Paper Wrap,7,17,9,66,2.49,1.01
Cornstarch Packaging,9,14,8,99,2.28,1.09
Recycled Cardboard,6,18,5,99,3.42,1.06
Recycled PET,6,3,6,89,3.39,0.73
Recycled Cardboard,5,18,8,97,3.96,0.98
Seaweed Packaging,7,4,7,94,3.41,0.63
Bagasse Fiber,8,17,7,61,2.43,0.44
Cornstarch Packaging,6,9,8,67,3.52,0.94
Mycelium Packaging,5,3,9,97,4.72,0.92
Biodegradable Plastic,7,7,5,63,2.48,1.04
Corrugated Board,7,12,5,96,4.07,0.89
Seaweed Packaging,5,6,8,80,3.78,0.53
Recycled Cardboard,5,16,6,72,4.25,1.08
Bagasse Fiber,8,15,9,68,2.45,0.9
Corrugated Board,5,3,6,88,4.82,1.05
Cornstarch Packaging,8,18,8,83,3.86,1.02
Mycelium Packaging,8,11,8,75,4.54,0.64
Cornstarch Packaging,9,18,6,71,2.74,0.46
Kraft Paper,7,17,7,61,4.22,0.54
Bagasse Fiber,7,16,8,78,4.34,0.47
PLA Bioplastic,7,12,9,89,3.19,0.59
Recycled Cardboard,9,14,6,75,3.15,0.77
Mycelium Packaging,8,3,7,83,3.97,1.13
Biodegradable Plastic,8,19,6,72,2.28,1.1
Cornstarch Packaging,5,11,7,64,4.21,0.97
Biodegradable Plastic,9,9,7,82,2.13,0.42
Cornstarch Packaging,5,11,9,97,2.57,0.67
Recycled Cardboard,9,14,8,90,3.99,0.95
Corrugated Board,5,9,7,76,2.29,0.5
Paper Foam,6,16,8,62,4.92,1.04
Corrugated Board,7,17,9,85,4.61,1.13
Cornstarch Packaging,7,17,8,72,3.88,0.68
Honeycomb Paperboard,8,8,5,97,4.46,0.96
Recycled PET,6,16,7,81,4.66,0.52
Bamboo Fiber Packaging,7,4,9,80,2.78,0.95
Paper Foam,8,10,6,88,4.55,0.42
PLA Bioplastic,6,15,9,98,2.58,0.52
Paper Foam,7,8,7,64,3.24,0.97
Recycled PET,5,7,9,73,3.67,0.97
Biodegradable Plastic,9,7,6,77,4.14,0.91
Bagasse Fiber,6,3,5,63,2.09,0.78
Biodegradable Plastic,8,11,7,92,2.87,0.94
Seaweed Packaging,6,8,7,98,3.83,1.02
Biodegradable Plastic,8,9,9,79,3.07,1.17
PLA Bioplastic,6,11,8,72,4.33,1.11
Honeycomb Paperboard,8,7,8,95,3.95,1.04
Corrugated Board,7,16,6,63,2.7,0.96
Corrugated Board,5,7,5,94,2.44,0.86
Bamboo Fiber Packaging,7,10,5,67,3.89,0.5
Recycled Paper Wrap,5,9,9,99,3.35,0.53
Cornstarch Packaging,7,15,9,95,2.51,1.06
Honeycomb Paperboard,7,15,8,65,2.98,1.04
Recycled Paper Wrap,6,10,5,81,2.91,0.89
Recycled PET,9,13,5,65,2.32,0.75
Seaweed Packaging,8,8,5,95,3.64,0.42
Recycled Cardboard,8,4,6,68,4.29,0.66
Recycled PET,8,15,6,75,3.73,0.74
Cornstarch Packaging,5,13,9,98,4.48,0.79
Cornstarch Packaging,8,3,8,97,2.38,1.14
Kraft Paper,8,4,7,92,3.31,0.49
Kraft Paper,6,19,8,77,3.83,0.82
Molded Pulp,7,10,6,71,4.03,0.69
Recycled PET,8,4,6,86,4.09,1.19
Molded Pulp,9,8,9,60,4.19,1.09
Biodegradable Plastic,8,7,7,74,3.95,0.75
Recycled Cardboard,5,18,5,86,2.28,1.2
Paper Foam,5,10,7,75,4.09,0.81
Bamboo Fiber Packaging,5,18,7,80,4.17,0.53
Paper Foam,8,15,7,60,4.98,0.84
Bamboo Fiber Packaging,6,9,9,88,4.08,0.58
Kraft Paper,9,18,6,62,4.06,0.91
Kraft Paper,8,18,5,71,3.54,1.15
Kraft Paper,6,14,7,87,4.6,1.03
Honeycomb Paperboard,6,16,5,98,4.99,0.62
Bagasse Fiber,8,18,7,96,4.34,0.64
Bamboo Fiber Packaging,8,18,6,90,3.84,0.46
Recycled PET,6,15,5,90,2.24,0.63
Molded Pulp,6,11,8,92,4.18,0.47
Honeycomb Paperboard,6,11,6,92,4.13,0.8
Corrugated Board,8,15,5,99,4.33,0.97
Paper Foam,6,6,7,70,2.37,1
Seaweed Packaging,5,11,7,88,3.96,0.45
PLA Bioplastic,8,17,6,84,2.89,0.67
Cornstarch Packaging,5,16,6,72,4.28,0.63
Molded Pulp,7,14,7,78,2.72,0.48
Recycled Paper Wrap,8,8,5,95,4.05,0.69
Mycelium Packaging,7,5,8,87,2.88,0.64
Corrugated Board,6,18,9,63,2.03,0.91
Recycled PET,6,19,6,62,3.9,1.11
Seaweed Packaging,9,18,7,97,2.34,0.76
Molded Pulp,6,8,5,96,3.98,1
PLA Bioplastic,7,10,6,84,4.78,0.52
Honeycomb Paperboard,6,4,5,94,4.91,1.12
Recycled PET,8,16,6,88,2.71,0.52
Recycled Cardboard,6,14,7,88,4.43,0.55
Cornstarch Packaging,9,19,5,71,3.06,0.49
Molded Pulp,6,17,7,94,4.7,0.65
Bagasse Fiber,7,18,5,79,4.36,0.84
Kraft Paper,7,15,6,76,2.22,1.19
Kraft Paper,6,19,9,71,3.22,1.03
Cornstarch Packaging,7,10,9,95,3.01,0.7
PLA Bioplastic,7,3,8,69,4.36,0.86
Bamboo Fiber Packaging,9,5,8,77,3.23,0.9
Seaweed Packaging,8,18,7,89,4.05,1.06
Honeycomb Paperboard,9,4,5,67,3.81,0.99
Kraft Paper,5,17,8,72,4.93,0.86
Molded Pulp,9,3,6,90,4.81,0.94
Recycled Paper Wrap,6,11,9,65,3.28,1
Paper Foam,8,18,5,66,4.17,0.51
Bamboo Fiber Packaging,6,6,9,80,4.49,0.56
Paper Foam,5,14,5,97,4.7,0.95
Corrugated Board,8,3,8,87,2.2,1.08
Seaweed Packaging,7,3,8,80,2.91,0.73
Biodegradable Plastic,9,9,7,80,2.96,1.18
Bamboo Fiber Packaging,6,17,5,83,3.3,0.57
Recycled Cardboard,5,15,6,86,2.51,0.73
Cornstarch Packaging,7,18,8,86,3.49,0.7
Corrugated Board,9,9,7,72,3.99,1.14
Biodegradable Plastic,7,18,8,88,3.49,0.63
Honeycomb Paperboard,9,15,9,98,4,0.78
Bamboo Fiber Packaging,8,16,8,87,2.2,0.55
Bagasse Fiber,7,19,5,96,4.63,0.82
Bagasse Fiber,7,14,7,88,4.82,1.09
Recycled Cardboard,7,15,5,81,3.85,0.64
Seaweed Packaging,8,17,6,95,4.64,1.05
Kraft Paper,5,6,6,89,2.39,1.13
Recycled PET,9,4,8,87,4.39,0.46
Molded Pulp,7,4,7,82,2.36,1.01
Corrugated Board,8,17,7,92,3.22,0.6
Mycelium Packaging,5,17,7,63,2.97,0.54
Bamboo Fiber Packaging,9,12,7,62,3.76,0.88
Corrugated Board,8,13,8,91,2.9,0.96
Bamboo Fiber Packaging,9,12,5,63,3.91,0.72
Cornstarch Packaging,7,7,8,60,3.1,0.43
Bamboo Fiber Packaging,5,11,5,71,4.58,1.13
Cornstarch Packaging,8,15,9,72,3.9,0.98
Bamboo Fiber Packaging,5,19,9,93,2.65,0.62
Bagasse Fiber,7,8,5,88,3.01,0.8
Bagasse Fiber,5,12,8,68,4.54,0.42
Seaweed Packaging,5,4,6,90,3.16,0.67
PLA Bioplastic,6,8,8,66,3.61,0.82
Recycled Paper Wrap,5,15,6,72,3.95,0.81
Recycled Paper Wrap,9,9,8,61,3.04,0.57
PLA Bioplastic,8,4,7,92,2.88,1.02
Kraft Paper,6,16,7,66,3.43,0.64
Recycled Paper Wrap,8,7,9,77,2.64,0.86
Seaweed Packaging,8,13,9,67,2.85,0.62
Mycelium Packaging,7,12,5,71,2.19,0.74
Mycelium Packaging,7,13,6,89,2.91,0.57
Molded Pulp,6,4,7,68,2.96,0.91
Molded Pulp,7,17,8,87,4.89,0.74
Mycelium Packaging,7,9,5,63,3.77,0.41
Corrugated Board,7,11,8,98,4.36,0.42
Recycled PET,8,7,7,76,2.14,0.78
Paper Foam,6,9,7,70,2.32,0.55
PLA Bioplastic,8,4,7,61,4.44,0.87
Molded Pulp,9,5,7,82,3.87,0.73
Recycled PET,8,4,8,81,2.57,0.92
Recycled PET,9,6,5,85,3.21,1.16
Biodegradable Plastic,5,9,7,71,3.62,0.82
Bagasse Fiber,5,9,9,91,4.53,1.03
Cornstarch Packaging,9,19,5,68,2.18,1
Seaweed Packaging,9,18,9,64,3.79,1.14
Mycelium Packaging,8,5,8,85,4.15,0.57
Recycled Paper Wrap,9,17,7,66,4.93,1.06
PLA Bioplastic,6,16,5,88,4.42,1.12
Corrugated Board,5,17,7,92,2.83,0.71
Mycelium Packaging,5,16,7,83,4.13,0.65
Recycled Cardboard,9,9,5,84,4.29,1.16
Cornstarch Packaging,7,5,7,90,4.19,0.9
Biodegradable Plastic,7,19,7,88,4.46,0.7
Recycled PET,9,12,6,64,4.71,1.03
Recycled Paper Wrap,6,17,6,97,2.3,0.64
Biodegradable Plastic,7,8,5,70,2.31,0.54
Bagasse Fiber,9,19,5,91,4.39,0.84
Mycelium Packaging,6,19,7,67,2.76,0.85
Bamboo Fiber Packaging,6,16,9,79,2.18,1.06
Bagasse Fiber,8,7,5,93,3.2,0.77
Seaweed Packaging,6,10,7,67,4.46,1.05
Recycled PET,7,9,9,61,2.38,0.65
Kraft Paper,7,6,6,80,4.02,0.86
Corrugated Board,9,7,5,74,2.01,0.57
Recycled PET,9,18,7,65,2.33,0.71
Cornstarch Packaging,6,16,6,64,3.05,1.09
Honeycomb Paperboard,5,16,8,62,2.25,0.57
Honeycomb Paperboard,8,11,6,75,4.54,1.05
Cornstarch Packaging,5,8,7,94,4.59,0.63
Recycled Cardboard,6,19,9,68,4.27,0.43
Seaweed Packaging,6,14,8,94,2.73,0.49
Corrugated Board,5,6,8,78,3.57,1
Biodegradable Plastic,8,18,8,93,2.55,0.61
Recycled Cardboard,5,13,5,98,2.84,0.92
Paper Foam,9,6,7,69,3.55,0.96
Cornstarch Packaging,7,19,8,69,4.21,0.68
Biodegradable Plastic,9,10,6,79,2.28,0.78
Honeycomb Paperboard,7,16,9,60,2.89,0.72
Molded Pulp,6,4,7,65,4.78,1.16
PLA Bioplastic,8,13,6,61,3.29,0.66
Kraft Paper,5,13,5,97,4.82,0.55
Honeycomb Paperboard,8,8,8,92,4.97,0.69
Corrugated Board,5,16,6,62,3.58,0.94
Bamboo Fiber Packaging,9,12,7,95,2.86,0.96
Bagasse Fiber,9,10,6,72,4.37,1.14
PLA Bioplastic,5,9,5,94,2.48,1.11
PLA Bioplastic,8,10,9,74,2.76,0.63
Molded Pulp,5,10,8,81,4.35,0.76
Kraft Paper,6,4,7,63,3.3,1
Mycelium Packaging,9,18,8,76,2.6,1.13
Kraft Paper,6,11,8,64,3.95,0.67
Paper Foam,9,15,8,80,4.2,0.76
Paper Foam,9,14,6,83,2.38,1.12
Recycled Paper Wrap,7,19,6,90,2.83,0.69
Honeycomb Paperboard,6,4,9,99,2.66,0.78
Honeycomb Paperboard,6,15,5,89,3.14,1.12
Honeycomb Paperboard,7,3,7,66,4.29,1.04
Recycled Paper Wrap,8,13,6,66,4.14,0.59
Seaweed Packaging,6,7,8,86,3.99,0.66
Recycled Cardboard,5,3,5,83,2.02,0.68
Bamboo Fiber Packaging,7,15,7,78,2.43,1.13
Bamboo Fiber Packaging,6,10,7,93,2.67,1.2
Kraft Paper,8,8,7,81,2.82,1.02
Molded Pulp,6,19,7,86,2.44,0.79
Corrugated Board,9,14,9,65,3.23,0.41
Kraft Paper,5,3,7,69,2.23,0.96
Paper Foam,7,5,5,90,4.25,0.71
PLA Bioplastic,9,16,6,84,4.36,0.91
Biodegradable Plastic,8,10,5,61,3.72,0.89
Recycled PET,9,13,8,69,2.27,0.78
Bagasse Fiber,9,16,9,69,4.67,1.16
Recycled Paper Wrap,8,10,9,85,4.9,0.42
Cornstarch Packaging,9,5,8,64,2.61,0.97
Biodegradable Plastic,7,9,5,81,4.11,0.73
Corrugated Board,6,6,5,63,4.53,0.97
Honeycomb Paperboard,9,18,8,93,3.62,0.94
Paper Foam,7,15,7,66,2.97,0.41
Recycled PET,6,7,7,76,3.44,0.63
Mycelium Packaging,6,7,6,70,3.54,0.55
Paper Foam,9,6,5,67,3.2,0.53
Paper Foam,7,4,5,87,4.79,0.98
Honeycomb Paperboard,9,15,8,92,4.23,0.59
Cornstarch Packaging,8,18,8,84,2.72,0.78
Recycled Paper Wrap,6,4,7,80,3.76,0.6
Biodegradable Plastic,9,19,5,71,4.07,0.86
